channels,penalty,window_size,pelt_model,min_size_opt,min_size,seed,n_detected,location_error,ari,n_penalty,composite
all,3.0,25,l2,5,5,49,20,9.0,0.20244360642603568,0.0,0.3472218032130178
all,3.0,25,l2,5,5,50,20,8.925,0.19987084386611964,0.0,0.3463854219330598
all,3.0,25,l2,5,5,51,22,8.704545454545453,0.19116397326368295,0.0,0.34335471390456873
all,3.0,25,l2,10,10,42,9,9.027777777777779,0.385355625340364,0.0,0.4385111460035153
all,3.0,25,l2,10,10,43,10,10.25,0.32460070040058403,0.0,0.40080035020029203
all,3.0,25,l2,10,10,44,11,9.84090909090909,0.29642852964134864,0.0,0.38916881027521977
all,3.0,25,l2,10,10,45,11,8.136363636363637,0.31635267747451395,0.0,0.4093581569190752
all,3.0,25,l2,10,10,46,9,7.527777777777778,0.4485017238084686,0.0,0.4790841952375676
all,3.0,25,l2,10,10,47,9,7.722222222222222,0.3822736106604791,0.0,0.4448034719969062
all,3.0,25,l2,10,10,48,10,10.0,0.31450903015143816,0.0,0.3972545150757191
all,3.0,25,l2,10,10,49,10,9.5,0.3352105414489535,0.0,0.4106052707244767
all,3.0,25,l2,10,10,50,11,8.613636363636363,0.3138621589953683,0.0,0.40524926131586597
all,3.0,25,l2,10,10,51,10,9.25,0.326882513361701,0.0,0.40794125668085046
all,3.0,25,l2,window,25,42,3,9.083333333333332,0.6633286121229709,0.6666666666666667,0.7104976393948188
all,3.0,25,l2,window,25,43,3,10.083333333333332,0.6469700856001357,0.6666666666666667,0.6963183761334011
all,3.0,25,l2,window,25,44,4,12.25,0.54398803547145,0.33333333333333337,0.5651606844023916
all,3.0,25,l2,window,25,45,4,12.25,0.54398803547145,0.33333333333333337,0.5651606844023916
all,3.0,25,l2,window,25,46,3,12.0,0.5849726680825876,0.6666666666666667,0.653819667374627
all,3.0,25,l2,window,25,47,3,5.5,0.8065812727756143,0.6666666666666667,0.8036239697211405
all,3.0,25,l2,window,25,48,4,12.25,0.54398803547145,0.33333333333333337,0.5651606844023916
all,3.0,25,l2,window,25,49,3,7.166666666666667,0.7339301040892622,0.6666666666666667,0.7572983853779645
all,3.0,25,l2,window,25,50,4,12.25,0.54398803547145,0.33333333333333337,0.5651606844023916
all,3.0,25,l2,window,25,51,4,12.25,0.54398803547145,0.33333333333333337,0.5651606844023916
all,3.0,30,rbf,5,5,42,2,7.5,0.7145881641294485,1.0,0.8122940820647242
all,3.0,30,rbf,5,5,43,3,16.25,0.49427025573814565,0.6666666666666667,0.5829684612024062
all,3.0,30,rbf,5,5,44,4,13.75,0.4835744424352019,0.33333333333333337,0.5259538878842677
all,3.0,30,rbf,5,5,45,3,10.833333333333332,0.6075693617635386,0.6666666666666667,0.6721180142151026
all,3.0,30,rbf,5,5,46,3,10.416666666666668,0.6492848089806265,0.6666666666666667,0.6954757378236465
all,3.0,30,rbf,5,5,47,2,2.5,0.9038742317748124,1.0,0.9369371158874062
all,3.0,30,rbf,5,5,48,1,15.0,0.5228988572603626,0.6666666666666667,0.6047827619635147
all,3.0,30,rbf,5,5,49,2,12.5,0.6136982704866922,1.0,0.731849135243346
all,3.0,30,rbf,5,5,50,3,16.666666666666664,0.4659498207885305,0.6666666666666667,0.5663082437275986
all,3.0,30,rbf,5,5,51,1,27.5,0.2609005453698375,0.6666666666666667,0.3987836060182521
all,3.0,30,rbf,10,10,42,2,7.5,0.7145881641294485,1.0,0.8122940820647242
all,3.0,30,rbf,10,10,43,3,16.25,0.49427025573814565,0.6666666666666667,0.5829684612024062
all,3.0,30,rbf,10,10,44,4,13.75,0.4835744424352019,0.33333333333333337,0.5259538878842677
all,3.0,30,rbf,10,10,45,3,10.833333333333332,0.6075693617635386,0.6666666666666667,0.6721180142151026
all,3.0,30,rbf,10,10,46,3,10.416666666666668,0.6492848089806265,0.6666666666666667,0.6954757378236465
all,3.0,30,rbf,10,10,47,2,2.5,0.9038742317748124,1.0,0.9369371158874062
all,3.0,30,rbf,10,10,48,1,15.0,0.5228988572603626,0.6666666666666667,0.6047827619635147
all,3.0,30,rbf,10,10,49,2,12.5,0.6136982704866922,1.0,0.731849135243346
all,3.0,30,rbf,10,10,50,3,16.666666666666664,0.4659498207885305,0.6666666666666667,0.5663082437275986
all,3.0,30,rbf,10,10,51,1,27.5,0.2609005453698375,0.6666666666666667,0.3987836060182521
all,3.0,30,rbf,window,30,42,2,5.0,0.8033702162217033,1.0,0.8716851081108516
all,3.0,30,rbf,window,30,43,1,25.0,0.4394281414597442,0.6666666666666667,0.5030474040632054
all,3.0,30,rbf,window,30,44,2,15.0,0.5647993173837419,1.0,0.692399658691871
all,3.0,30,rbf,window,30,45,1,20.0,0.4606778545574202,0.6666666666666667,0.5436722606120434
all,3.0,30,rbf,window,30,46,3,8.333333333333332,0.7150846051159938,0.6666666666666667,0.7408756358913302
all,3.0,30,rbf,window,30,47,2,2.5,0.9038742317748124,1.0,0.9369371158874062
all,3.0,30,rbf,window,30,48,1,15.0,0.5228988572603626,0.6666666666666667,0.6047827619635147
all,3.0,30,rbf,window,30,49,2,10.0,0.6844056129203071,1.0,0.7822028064601536
all,3.0,30,rbf,window,30,50,2,10.0,0.6679306789076274,1.0,0.7739653394538137
all,3.0,30,rbf,window,30,51,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,3.0,30,l2,5,5,42,16,8.125,0.2937796233379472,0.0,0.3981398116689736
all,3.0,30,l2,5,5,43,12,7.5,0.364434505321572,0.0,0.43721725266078604
all,3.0,30,l2,5,5,44,18,10.972222222222221,0.21325157554079374,0.0,0.3407924544370635
all,3.0,30,l2,5,5,45,17,7.205882352941177,0.2640095384091296,0.0,0.3887694750869177
all,3.0,30,l2,5,5,46,15,6.0,0.33412688468445895,0.0,0.4310634423422295
all,3.0,30,l2,5,5,47,18,6.944444444444445,0.24805405867761526,0.0,0.382360362672141
all,3.0,30,l2,5,5,48,19,8.092105263157894,0.28292806484295846,0.0,0.39291140084253184
all,3.0,30,l2,5,5,49,18,6.805555555555555,0.2798270160264564,0.0,0.3990801746798949
all,3.0,30,l2,5,5,50,18,8.472222222222221,0.29074518724461856,0.0,0.39453926028897596
all,3.0,30,l2,5,5,51,20,7.625,0.23195876288659795,0.0,0.370229381443299
all,3.0,30,l2,10,10,42,9,10.0,0.34528356125005133,0.0,0.41264178062502566
all,3.0,30,l2,10,10,43,9,6.388888888888889,0.41625857002938293,0.0,0.4697959516813581
all,3.0,30,l2,10,10,44,8,12.1875,0.3366520964869678,0.0,0.3952010482434839
all,3.0,30,l2,10,10,45,10,8.0,0.3596164972311761,0.0,0.4318082486155881
all,3.0,30,l2,10,10,46,8,9.0625,0.4471573907839617,0.0,0.4692036953919808
all,3.0,30,l2,10,10,47,9,7.638888888888889,0.39193601044727394,0.0,0.45013467189030365
all,3.0,30,l2,10,10,48,10,7.75,0.3596164972311761,0.0,0.43330824861558803
all,3.0,30,l2,10,10,49,9,6.944444444444445,0.41625857002938293,0.0,0.4664626183480248
all,3.0,30,l2,10,10,50,9,10.555555555555555,0.3358279147752832,0.0,0.4045806240543082
all,3.0,30,l2,10,10,51,10,6.75,0.37193156459211507,0.0,0.44546578229605754
all,3.0,30,l2,window,30,42,3,8.333333333333332,0.7150846051159938,0.6666666666666667,0.7408756358913302
all,3.0,30,l2,window,30,43,3,8.333333333333332,0.7150846051159938,0.6666666666666667,0.7408756358913302
all,3.0,30,l2,window,30,44,3,8.333333333333332,0.7150846051159938,0.6666666666666667,0.7408756358913302
all,3.0,30,l2,window,30,45,3,8.333333333333332,0.7150846051159938,0.6666666666666667,0.7408756358913302
all,3.0,30,l2,window,30,46,3,8.333333333333332,0.7150846051159938,0.6666666666666667,0.7408756358913302
all,3.0,30,l2,window,30,47,2,2.5,0.9038742317748124,1.0,0.9369371158874062
all,3.0,30,l2,window,30,48,2,7.5,0.7327851656346226,1.0,0.8213925828173112
all,3.0,30,l2,window,30,49,2,10.0,0.6844056129203071,1.0,0.7822028064601536
all,3.0,30,l2,window,30,50,2,10.0,0.6679306789076274,1.0,0.7739653394538137
all,3.0,30,l2,window,30,51,3,8.333333333333332,0.7150846051159938,0.6666666666666667,0.7408756358913302
all,4.0,15,rbf,5,5,42,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,4.0,15,rbf,5,5,43,1,23.5,0.44135129541658846,0.6666666666666667,0.5130089810416276
all,4.0,15,rbf,5,5,44,0,50.0,0.0,0.33333333333333337,0.06666666666666668
